SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,FRE
220.86,217.67,217.67,217.67,219.75,283.76,217.67,220.07,213.95,213.95,213.95,216.45,216.45,210.1,283.76,309.87,309.87,
224.68,226.01,226.01,226.01,226.01,308.2,226.01,226.01,213.15,213.15,213.15,226.71,226.71,209.7,308.2,315.79,315.79,
216.62,229.68,229.68,229.68,229.68,295.96,229.68,229.68,207.33,207.33,207.33,228.62,228.62,205.03,295.96,312.02,312.02,
232.91,240.95,240.95,240.95,243.99,310.05,240.95,246.55,220.36,220.36,220.36,222.59,222.59,211.73,310.05,328.72,328.72,
189.35,189.35,189.35,189.35,189.35,189.35,183.91,189.35,189.35,189.35,189.35,189.48,189.48,189.48,189.35,209.44,209.44,
187.05,186.95,186.95,186.95,186.95,190.22,186.95,186.95,186.95,186.95,186.95,186.95,186.95,186.93,190.22,222.64,222.64,
209.24,206.45,206.45,206.45,206.45,299.94,202.95,206.45,205.63,205.63,205.63,206.22,206.22,203.9,299.94,300.77,300.77,
230.83,243.76,243.76,243.76,243.76,295.62,222.08,243.76,221.78,221.78,221.78,237.07,237.07,210.58,295.62,312.04,312.04,
256.34,279.03,279.03,279.03,279.34,296.9,262.33,279.35,236.03,236.03,236.03,274.38,274.38,215.95,296.9,356.05,356.05,
274.64,304.83,304.83,304.83,307.36,334.74,304.83,307.68,230.52,230.52,230.52,303.3,303.3,282.89,334.74,352.31,352.31,
234.69,232.53,232.53,232.53,232.53,350.88,232.22,236.17,224.71,224.71,224.71,232.53,232.53,229.71,350.88,422.11,422.11,
215.3,213.89,213.89,213.89,213.89,249.86,213.53,213.89,213.54,213.54,213.54,213.89,213.89,216.58,249.86,266.06,266.06,
206.4,206.78,206.78,206.78,206.78,206.78,204.07,206.82,205.68,205.68,205.68,206.78,206.78,206.85,206.78,238.15,238.15,
226.43,226.17,226.17,226.17,226.17,287.37,225.55,272.95,222.35,222.35,222.35,226.17,226.17,216.03,287.37,365.34,365.34,
223.76,224.85,224.85,224.85,224.85,280.08,222.74,273.64,216.57,216.57,216.57,224.85,224.85,219.07,284.24,376.15,376.15,
224.91,226.45,226.45,226.45,226.45,264.41,219.79,284.34,219.36,219.36,219.36,226.45,226.45,219.23,264.96,390.04,390.04,
233.15,234.22,234.22,234.22,234.22,302.82,233.5,256.56,228.71,228.71,228.71,234.22,234.22,222.97,304.21,366.43,366.43,
240.79,246.19,246.19,246.19,246.19,379.34,246.19,266.31,227.03,227.03,227.03,236.34,236.34,225.18,379.34,414,414,
213.74,217.32,217.32,217.32,217.32,217.32,215.58,221.89,213.58,213.58,213.58,217.32,217.32,212.4,217.32,338.74,383.95,
193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,193.45,258.08,258.08,
209.41,210.94,210.94,210.94,210.94,298.62,201.1,210.94,201.1,201.1,199.96,210.94,210.94,206.21,298.62,360.1,361.29,
225.19,255.99,255.99,255.99,255.99,340.7,244.66,257.18,211.08,211.08,209.11,245.81,245.81,217.11,340.7,379.74,379.74,
237.42,282.01,282.01,282.01,282.01,361.1,281.94,282.01,211.15,211.15,211.15,257.08,257.08,224.75,361.1,379.94,379.94,
228.84,272.89,272.89,272.89,272.89,328.08,267.32,272.89,201.31,201.31,201.31,250.13,250.13,221.97,328.08,352.74,352.74,
227.93,263.28,263.28,268.95,268.95,306.77,268.44,269.26,204.78,204.78,204.38,246.01,246.01,221.93,306.77,360.37,360.37,
211.35,236,236,236,236,236.67,232.33,236,202.48,202.48,202.48,230.32,230.32,212.99,236.67,326.53,326.53,
206.5,234.26,234.26,234.26,234.26,236.04,211.36,234.26,198.38,198.38,198.38,229.5,229.5,209.62,236.04,264.8,264.8,
249.27,285.58,285.58,285.58,285.58,389.17,282.72,285.91,210.67,210.67,208.8,265.6,265.6,227.11,389.17,389.17,389.17,
253.31,301.05,301.05,301.05,301.05,347.95,269.22,301.05,218.48,218.48,210.35,288.35,288.35,235.41,347.95,347.95,347.95,
244.92,268.4,268.4,268.4,273.8,318.85,261.81,273.8,218.42,218.42,218.23,257.65,257.65,235.84,318.85,325.8,325.8,
249.69,296.9,296.9,296.9,296.9,297.47,267.87,296.9,220.33,220.33,220.33,300.74,300.74,233.04,297.47,328.86,328.86,
244.94,287.37,287.37,287.37,287.37,311.92,235.58,287.37,219.23,219.23,219.23,287.7,287.7,234.3,332.18,333.1,333.1,
239.17,273.29,273.29,273.29,273.29,282.42,248.2,273.29,223.75,223.75,223.75,273.29,273.29,230.43,282.42,284.53,284.53,
235.56,269.08,269.08,269.08,269.08,269.08,232.61,269.08,223.85,223.85,223.85,269.08,269.08,232.27,269.08,292.03,292.03,
259.68,287.64,287.64,287.64,287.64,287.64,266.32,287.64,239.49,239.49,239.49,287.64,287.64,241.3,287.64,362.85,362.85,
258.31,342.57,342.57,342.57,342.57,355.15,282.92,342.57,237.78,237.78,237.78,342.57,342.57,234.69,368.33,394.69,394.69,
267.04,301.82,301.82,301.82,301.82,334.84,287.32,301.82,250.2,250.2,244.97,300.86,300.86,236.65,334.84,355.52,355.52,
267.46,343.55,343.55,343.55,343.55,343.55,338.89,343.55,246.71,246.71,245.74,343.55,343.55,235.04,343.55,370.36,370.36,
260.2,323.93,323.93,323.93,323.93,334.91,317.54,323.93,246.95,246.95,246.95,323.93,323.93,231.98,334.91,354.18,354.18,
231.7,237.06,237.06,237.06,237.06,237.06,230.05,237.06,231.02,231.02,231.02,237.06,237.06,228.61,237.06,237.63,237.63,
221.21,234.32,234.32,234.32,234.32,234.32,213.3,234.32,215.12,215.12,215.12,237.44,237.44,221.53,234.32,293.31,293.31,
257.83,309.07,309.07,309.07,309.07,309.6,243.88,309.07,240.47,240.47,233.71,309.07,309.07,234.23,309.6,438.81,438.81,
259.63,310.53,310.53,310.53,310.53,310.53,309.88,310.53,243.03,243.03,232.24,310.73,310.73,233.3,504.64,529.68,529.68,
262.42,333.98,333.98,333.98,333.98,333.98,309.31,333.98,239.58,239.58,229.41,333.98,333.98,238.71,333.98,597.21,597.21,
260.63,306.87,306.87,306.87,306.87,306.87,277.45,306.87,234.14,234.14,226.54,306.87,306.87,239.28,306.87,445.39,445.39,
251.59,280.16,280.16,280.16,280.16,280.16,279.61,284.94,230.11,230.11,229.71,279.78,279.78,236.71,280.16,340.78,340.78,
241.3,270.25,270.25,270.25,270.25,270.25,265.5,270.25,228.86,228.86,228.86,270.97,270.97,236.6,270.25,316.66,316.66,
223.33,254.42,254.42,254.42,254.42,254.42,219.42,254.42,206.96,206.96,206.96,254.6,254.6,227.95,254.42,257.68,257.68,
267.07,509.48,509.48,509.48,509.48,509.48,255.34,509.48,223.95,223.95,223.95,404.62,404.62,233.02,509.48,509.48,509.48,
278.53,734.87,734.87,734.87,734.87,734.87,311.27,734.87,229.27,229.27,229.27,327.26,327.26,234.24,734.87,734.87,734.87,
271.85,455.26,455.26,455.26,455.26,455.26,258.59,455.26,223.17,223.17,223.17,291.93,291.93,235.76,455.26,456.37,456.37,
256.16,333.06,333.06,333.06,333.06,334.05,250.06,333.06,218.64,218.64,218.64,283.53,283.53,234.17,334.05,363.62,363.62,
238.64,273.8,273.8,273.8,273.8,289.35,228.03,273.8,215.23,215.23,215.23,265.57,265.57,242.93,289.35,1080.11,1080.11,
202.53,217.09,217.09,217.09,217.09,217.09,197.92,217.09,195.23,195.23,195.23,217.09,217.09,217.09,217.09,758.86,758.86,
198.82,221.05,221.05,221.05,221.05,221.05,183.75,221.05,187.36,187.36,187.36,215.96,215.96,215.79,221.05,372.16,372.16,
243.74,296.64,296.64,296.64,296.64,365.57,289.63,296.96,213.27,213.27,213.27,284.51,284.51,235.24,365.57,371.4,371.4,
